
PLAYER	2013/14 	2013/14(*)
126.	Chuck Hayes	$5,722,500	$6,658,474
127.	Jason Thompson	$5,643,750	$6,566,843
128.	JR Smith	$5,565,000	$6,475,213
129.	Anthony Davis	$5,375,760	$6,255,021
130.	Anthony Bennett	$5,324,280	$6,195,121
131.	Derrick Williams	$5,293,080	$6,158,818
132.	Landry Fields	$5,225,000	$6,079,602
132.	Jason Terry	$5,225,000	$6,079,602
132.	Courtney Lee	$5,225,000	$6,079,602
132.	Jamal Crawford	$5,225,000	$6,079,602
132.	Omer Asik	$5,225,000	$6,079,602
132.	Jeremy Lin	$5,225,000	$6,079,602
132.	Louis Williams	$5,225,000	$6,079,602
139.	Zaza Pachulia	$5,200,000	$6,050,513
140.	Martell Webster	$5,150,000	$5,992,335
140.	JJ Hickson	$5,150,000	$5,992,335
142.	Robin Lopez	$5,119,761	$5,957,150
143.	Keith Bogans	$5,058,198	$5,885,518
144.	Andre Miller	$5,000,000	$5,817,801
144.	Chase Budinger	$5,000,000	$5,817,801
144.	Ramon Sessions	$5,000,000	$5,817,801
144.	Tony Allen	$5,000,000	$5,817,801
144.	Brandan Wright	$5,000,000	$5,817,801
149.	DeMarcus Cousins	$4,916,973	$5,721,194
150.	Michael Kidd-Gilchrist	$4,809,840	$5,596,539
151.	Victor Oladipo	$4,763,760	$5,542,922
152.	Enes Kanter	$4,753,320	$5,530,774
153.	Boris Diaw	$4,702,500	$5,471,642
154.	Jose Juan Barea	$4,687,000	$5,453,607
155.	Linas Kleiza	$4,600,000	$5,352,377
156.	Luc Mbah a Moute	$4,588,384	$5,338,861
157.	Corey Brewer	$4,500,000	$5,236,021
157.	Luis Scola	$4,500,000	$5,236,021
157.	Jonas Jerebko	$4,500,000	$5,236,021
160.	Ekpe Udoh	$4,469,547	$5,200,587
161.	Timofey Mozgov	$4,400,000	$5,119,665
162.	Earl Clark	$4,361,518	$5,074,888
163.	Udonis Haslem	$4,340,000	$5,049,851
164.	Luke Ridnour	$4,320,000	$5,026,580
165.	Bradley Beal	$4,319,280	$5,025,743
166.	Tristan Thompson	$4,285,560	$4,986,507
167.	Otto Porter	$4,278,000	$4,977,711
168.	Jared Dudley	$4,250,000	$4,945,131
