PLAYER	2019/20 	2019/20(*)
125.	Dante Exum	$9,600,000	$10,182,911
126.	Deandre Ayton	$9,562,920	$10,143,580
127.	Delon Wright	$9,473,684	$10,048,925
128.	Fred VanVleet	$9,346,153	$9,913,651
128.	Jerami Grant	$9,346,153	$9,913,651
130.	Al-Farouq Aminu	$9,258,000	$9,820,145
131.	Kyle Anderson	$9,073,050	$9,623,965
132.	Taj Gibson	$9,000,000	$9,546,479
133.	Ja Morant	$8,730,240	$9,260,340
134.	Lonzo Ball	$8,719,320	$9,248,757
135.	E'Twaun Moore	$8,664,928	$9,191,062
136.	Marvin Bagley	$8,556,120	$9,075,647
137.	Bogdan Bogdanovic	$8,529,386	$9,047,290
138.	PJ Tucker	$8,349,039	$8,855,992
139.	Cristiano Felicio	$8,156,500	$8,651,762
140.	Kentavious Caldwell-Pope	$8,139,282	$8,633,499
141.	Ben Simmons	$8,113,929	$8,606,606
142.	Thomas Bryant	$8,000,000	$8,485,759
142.	Wayne Ellington	$8,000,000	$8,485,759
142.	Elfrid Payton	$8,000,000	$8,485,759
142.	Louis Williams	$8,000,000	$8,485,759
142.	Maxi Kleber	$8,000,000	$8,485,759
147.	RJ Barrett	$7,839,960	$8,316,002
148.	Jayson Tatum	$7,830,000	$8,305,437
149.	Jae Crowder	$7,815,533	$8,290,092
150.	Luka Doncic	$7,683,360	$8,149,893
151.	Joe Harris	$7,666,667	$8,132,186
152.	Seth Curry	$7,461,380	$7,914,434
153.	DeMarre Carroll	$7,339,258	$7,784,897
154.	Doug McDermott	$7,333,333	$7,778,612
154.	Langston Galloway	$7,333,333	$7,778,612
156.	Derrick Rose	$7,317,074	$7,761,366
157.	Brandon Ingram	$7,265,485	$7,706,645
158.	DJ Augustin	$7,250,000	$7,690,219
158.	Darius Miller	$7,250,000	$7,690,219
160.	De'Andre Hunter	$7,068,360	$7,497,550
161.	Josh Jackson	$7,059,480	$7,488,131
162.	Davis Bertans	$7,000,000	$7,425,039
162.	Ersan Ilyasova	$7,000,000	$7,425,039
164.	Jaren Jackson Jr	$6,927,480	$7,348,116
165.	Nemanja Bjelica	$6,825,000	$7,239,413
166.	Jaylen Brown	$6,534,829	$6,931,623
167.	Jabari Parker	$6,500,000	$6,894,679
168.	Ivica Zubac	$6,481,482	$6,875,037
169.	Darius Garland	$6,400,920	$6,789,583
170.	De'Aaron Fox	$6,392,760	$6,780,928
171.	Trae Young	$6,273,000	$6,653,896
172.	Ishmael Smith	$6,000,000	$6,364,319
172.	Montrezl Harrell	$6,000,000	$6,364,319
174.	Marco Belinelli	$5,846,154	$6,201,132
175.	Jarrett Culver	$5,813,640	$6,166,644
176.	Jonathan Isaac	$5,806,440	$6,159,006
177.	Rodney Hood	$5,718,000	$6,065,196
178.	Mo Bamba	$5,697,600	$6,043,558
179.	Trey Lyles	$5,500,000	$5,833,959
180.	Aron Baynes	$5,453,280	$5,784,403
181.	Kris Dunn	$5,348,007	$5,672,737
182.	Coby White	$5,307,120	$5,629,368
183.	Lauri Markkanen	$5,300,400	$5,622,240
184.	Wendell Carter	$5,201,400	$5,517,228
185.	Luol Deng	$5,000,000	$5,303,599
185.	Daniel Theis	$5,000,000	$5,303,599
187.	Jaxson Hayes	$4,862,040	$5,157,263
188.	Buddy Hield	$4,861,207	$5,156,379
189.	Frank Ntilikina	$4,855,800	$5,150,644
190.	Rodney McGruder	$4,807,693	$5,099,616
191.	Ed Davis	$4,767,000	$5,056,452
191.	Richaun Holmes	$4,767,000	$5,056,452
191.	Frank Kaminsky	$4,767,000	$5,056,452
191.	Mike Scott	$4,767,000	$5,056,452
191.	Robin Lopez	$4,767,000	$5,056,452
191.	Avery Bradley	$4,767,000	$5,056,452
191.	JaMychal Green	$4,767,000	$5,056,452
191.	Justin Holiday	$4,767,000	$5,056,452
191.	Garrett Temple	$4,767,000	$5,056,452
191.	Enes Kanter	$4,767,000	$5,056,452
201.	Collin Sexton	$4,764,960	$5,054,288
202.	Rui Hachimura	$4,469,160	$4,740,527
203.	Kevon Looney	$4,464,286	$4,735,357
204.	Dennis Smith	$4,463,640	$4,734,672
205.	Jamal Murray	$4,444,746	$4,714,630
206.	Kevin Knox	$4,380,120	$4,646,080
207.	Cam Reddish	$4,245,720	$4,503,520
208.	Zach Collins	$4,240,200	$4,497,664
209.	Mikal Bridges	$4,161,000	$4,413,655
210.	Alex Len	$4,160,000	$4,412,595
211.	Nicolo Melli	$4,102,564	$4,351,671
212.	Cameron Johnson	$4,033,440	$4,278,350
213.	Malik Monk	$4,028,400	$4,273,004
214.	Patrick McCaw	$4,000,000	$4,242,879
214.	Reggie Bullock	$4,000,000	$4,242,879
214.	JaVale McGee	$4,000,000	$4,242,879
214.	Dorian Finney-Smith	$4,000,000	$4,242,879
218.	Shai Gilgeous-Alexander	$3,952,920	$4,192,941
219.	PJ Washington	$3,831,840	$4,064,509
220.	Luke Kennard	$3,827,160	$4,059,545
221.	Miles Bridges	$3,755,400	$3,983,427
222.	Jakob Poeltl	$3,754,885	$3,982,881
223.	Tyler Herro	$3,640,200	$3,861,232
224.	Donovan Mitchell	$3,635,760	$3,856,523
225.	Stanley Johnson	$3,623,000	$3,842,988
226.	Jake Layman	$3,581,986	$3,799,484
227.	Thon Maker	$3,569,643	$3,786,391
228.	Jerome Robinson	$3,567,720	$3,784,351
229.	Danuel House	$3,540,000	$3,754,948
230.	Domantas Sabonis	$3,529,554	$3,743,868
231.	DeMarcus Cousins	$3,500,000	$3,712,519
231.	TJ McConnell	$3,500,000	$3,712,519
231.	Boban Marjanovic	$3,500,000	$3,712,519
234.	Dario Saric	$3,481,985	$3,693,411
234.	Taurean Prince	$3,481,985	$3,693,411
236.	Romeo Langford	$3,458,400	$3,668,394
237.	Bam Adebayo	$3,454,080	$3,663,811
238.	Michael Porter	$3,389,400	$3,595,204
239.	Denzel Valentine	$3,377,568	$3,582,653
240.	Juan Hernangomez	$3,321,029	$3,522,681
241.	Sekou Doumbouya	$3,285,120	$3,484,592
242.	Justin Jackson	$3,280,920	$3,480,137
243.	Troy Brown	$3,219,480	$3,414,966
244.	Yogi Ferrell	$3,150,000	$3,341,267
245.	Zhaire Smith	$3,058,800	$3,244,530
246.	Khem Birch	$3,000,000	$3,182,159
246.	Quinn Cook	$3,000,000	$3,182,159
246.	Ryan Arcidiacono	$3,000,000	$3,182,159
