	PLAYER	2014/15 	2014/15(*)
1.	Kobe Bryant	$23,500,000	$26,788,519
2.	Joe Johnson	$23,180,790	$26,424,639
3.	Carmelo Anthony	$22,458,401	$25,601,161
4.	Amare Stoudemire	$21,896,658	$24,960,810
5.	Dwight Howard	$21,436,271	$24,435,998
6.	Chris Bosh	$20,644,400	$23,533,315
6.	LeBron James	$20,644,400	$23,533,315
8.	Chris Paul	$20,068,563	$22,876,897
9.	Kevin Durant	$19,997,513	$22,795,904
10.	Deron Williams	$19,754,465	$22,518,845
11.	Rudy Gay	$19,317,326	$22,020,534
12.	Derrick Rose	$18,862,876	$21,502,489
13.	Blake Griffin	$17,632,688	$20,100,153
14.	Carlos Boozer	$16,800,000	$19,150,941
15.	Zach Randolph	$16,500,000	$18,808,960
16.	Marc Gasol	$15,829,688	$18,044,846
17.	Paul George	$15,800,000	$18,011,004
18.	Kevin Love	$15,719,063	$17,918,741
19.	Russell Westbrook	$15,719,062	$17,918,740
20.	Brook Lopez	$15,719,000	$17,918,669
21.	LaMarcus Aldridge	$15,200,000	$17,327,042
22.	David Lee	$15,012,000	$17,112,733
23.	Dwyane Wade	$15,000,000	$17,099,054
24.	Josh Smith	$14,945,778	$17,037,244
25.	Omer Asik	$14,898,938	$16,983,850
25.	Eric Gordon	$14,898,938	$16,983,850
25.	Jeremy Lin	$14,898,938	$16,983,850
25.	Roy Hibbert	$14,898,938	$16,983,850
29.	Gordon Hayward	$14,746,000	$16,809,510
30.	Chandler Parsons	$14,700,000	$16,757,073
31.	James Harden	$14,693,906	$16,750,126
32.	Tyson Chandler	$14,596,888	$16,639,532
33.	Brandon Roy	$14,399,332	$16,414,331
34.	John Wall	$13,701,250	$15,618,561
34.	DeMarcus Cousins	$13,701,250	$15,618,561
36.	Al Jefferson	$13,500,000	$15,389,149
37.	Nenê	$13,000,000	$14,819,180
37.	Eric Bledsoe	$13,000,000	$14,819,180
39.	Andrew Bogut	$12,972,973	$14,788,371
40.	Derrick Favors	$12,950,000	$14,762,183
41.	Rajon Rondo	$12,909,090	$14,715,549
42.	Joakim Noah	$12,700,000	$14,477,199
43.	Tony Parker	$12,500,000	$14,249,212
44.	Andre Iguodala	$12,289,544	$14,009,305
45.	Serge Ibaka	$12,250,000	$13,964,228
46.	Nikola Pekovic	$12,100,000	$13,793,237
47.	Kyle Lowry	$12,000,000	$13,679,243
47.	Andrea Bargnani	$12,000,000	$13,679,243
47.	Kevin Garnett	$12,000,000	$13,679,243
47.	David West	$12,000,000	$13,679,243
47.	Al Horford	$12,000,000	$13,679,243
52.	Ty Lawson	$11,595,506	$13,218,146
53.	DeAndre Jordan	$11,440,123	$13,041,019
54.	Nicolas Batum	$11,390,500	$12,984,452
55.	Tyreke Evans	$11,265,416	$12,841,864
56.	JaVale McGee	$11,250,000	$12,824,291
57.	Jrue Holiday	$11,000,000	$12,539,306
57.	Larry Sanders	$11,000,000	$12,539,306
59.	Danilo Gallinari	$10,854,850	$12,373,844
60.	Stephen Curry	$10,629,213	$12,116,632
61.	Marcin Gortat	$10,434,782	$11,894,993
62.	Tim Duncan	$10,361,446	$11,811,395
63.	Gerald Wallace	$10,105,855	$11,520,037
64.	Anderson Varejao	$9,800,000	$11,171,382
65.	Brendan Haywood	$9,798,000	$11,169,101
66.	Luol Deng	$9,714,461	$11,073,873
67.	Steve Nash	$9,701,000	$11,058,528
68.	Kendrick Perkins	$9,588,889	$10,930,728
69.	DeMar DeRozan	$9,500,000	$10,829,401
69.	Paul Millsap	$9,500,000	$10,829,401
71.	Tyrus Thomas	$9,460,664	$10,784,560
72.	Mike Miller	$9,332,000	$10,637,891
73.	Tiago Splitter	$9,250,000	$10,544,417
74.	Jeff Green	$9,200,000	$10,487,420
75.	Thaddeus Young	$9,160,870	$10,442,814
76.	Jordan Hill	$9,000,000	$10,259,432
76.	Lance Stephenson	$9,000,000	$10,259,432
78.	Mike Conley	$8,760,000	$9,985,847
79.	Monta Ellis	$8,720,000	$9,940,250
80.	Marcus Thornton	$8,697,500	$9,914,601
81.	Trevor Ariza	$8,600,000	$9,803,458
82.	Channing Frye	$8,579,088	$9,779,619
83.	Landry Fields	$8,500,000	$9,689,464
84.	Ryan Anderson	$8,491,500	$9,679,774
85.	Marcus Camby	$8,354,416	$9,523,506
86.	Drew Gooden	$8,128,490	$9,265,966
87.	Boris Diaw	$8,000,000	$9,119,495
87.	OJ Mayo	$8,000,000	$9,119,495
87.	George Hill	$8,000,000	$9,119,495
87.	Brandon Jennings	$8,000,000	$9,119,495
87.	Taj Gibson	$8,000,000	$9,119,495
87.	Jeff Teague	$8,000,000	$9,119,495
93.	Dirk Nowitzki	$7,974,482	$9,090,406
94.	Ersan Ilyasova	$7,900,000	$9,005,502
95.	Glen Davis	$7,827,985	$8,923,409
96.	Tayshaun Prince	$7,707,865	$8,786,480
97.	Al Harrington	$7,609,800	$8,674,692
98.	Arron Afflalo	$7,562,500	$8,620,773
99.	Goran Dragic	$7,500,000	$8,549,527
100.	Kyrie Irving	$7,459,924	$8,503,843
101.	Josh Childress	$7,317,500	$8,341,488
102.	Wesley Matthews	$7,245,640	$8,259,572
103.	Isaiah Thomas	$7,238,606	$8,251,554
104.	Avery Bradley	$7,191,011	$8,197,299
105.	Pau Gasol	$7,128,000	$8,125,470
106.	Jose Calderon	$7,097,191	$8,090,350
107.	Amir Johnson	$7,000,000	$7,979,558
107.	Manu Ginobili	$7,000,000	$7,979,558
107.	Marvin Williams	$7,000,000	$7,979,558
107.	Travis Outlaw	$7,000,000	$7,979,557
111.	Brandon Bass	$6,950,000	$7,922,562
112.	Kevin Martin	$6,792,500	$7,743,021
112.	JJ Redick	$6,792,500	$7,743,021
114.	Wilson Chandler	$6,754,913	$7,700,175
