	PLAYER	2011/12 	2011/12(*)
1.	Kobe Bryant	$25,244,493	$30,386,173
2.	Vince Carter	$21,300,000	$25,638,283
3.	Kevin Garnett	$21,247,044	$25,574,542
4.	Tim Duncan	$21,164,619	$25,475,329
5.	Rashard Lewis	$21,136,631	$25,441,641
6.	Gilbert Arenas	$19,269,307	$23,193,989
7.	Dirk Nowitzki	$19,092,873	$22,981,619
8.	Pau Gasol	$18,714,150	$22,525,760
9.	Carmelo Anthony	$18,518,574	$22,290,350
10.	Amare Stoudemire	$18,217,705	$21,928,201
11.	Dwight Howard	$18,091,770	$21,776,616
12.	Joe Johnson	$18,038,573	$21,712,585
13.	Richard Hamilton	$17,500,000	$21,064,317
14.	Elton Brand	$17,059,727	$20,534,372
15.	Chris Paul	$16,359,805	$19,691,893
15.	Deron Williams	$16,359,805	$19,691,893
17.	Brandon Roy	$16,032,144	$19,297,496
18.	Chris Bosh	$16,022,500	$19,285,887
18.	LeBron James	$16,022,500	$19,285,887
20.	Dwyane Wade	$15,691,000	$18,886,869
21.	Kevin Durant	$15,506,632	$18,664,950
22.	Paul Pierce	$15,333,334	$18,456,355
23.	Baron Davis	$15,252,181	$18,358,672
24.	Zach Randolph	$15,200,000	$18,295,864
25.	Antawn Jamison	$15,076,715	$18,147,469
26.	Rudy Gay	$15,032,144	$18,093,820
27.	Andrew Bynum	$14,900,000	$17,934,762
28.	Chauncey Billups	$14,200,000	$17,092,189
29.	Chris Kaman	$14,030,000	$16,887,564
30.	Al Jefferson	$14,000,000	$16,851,454
31.	Andre Iguodala	$13,531,750	$16,287,833
32.	Carlos Boozer	$13,500,000	$16,249,616
33.	Tyson Chandler	$13,107,837	$15,777,579
34.	Nenê	$13,000,000	$15,647,779
35.	Manu Ginobili	$12,981,038	$15,624,955
36.	Marc Gasol	$12,922,194	$15,554,125
37.	Emeka Okafor	$12,541,812	$15,096,269
38.	Tony Parker	$12,500,000	$15,045,941
39.	Josh Smith	$12,400,000	$14,925,573
40.	LaMarcus Aldridge	$12,372,000	$14,891,871
41.	Luol Deng	$12,325,000	$14,835,298
42.	Danny Granger	$12,015,904	$14,463,247
43.	Andrew Bogut	$12,000,000	$14,444,103
43.	Joakim Noah	$12,000,000	$14,444,103
43.	Al Horford	$12,000,000	$14,444,103
46.	Steve Nash	$11,689,062	$14,069,835
47.	David Lee	$11,610,000	$13,974,670
48.	Ben Gordon	$11,600,000	$13,962,633
49.	Kevin Martin	$11,519,840	$13,866,147
50.	Marcus Camby	$11,227,250	$13,513,963
51.	Jason Terry	$11,158,000	$13,430,609
52.	Hidayet Turkoglu	$11,015,850	$13,259,506
53.	Monta Ellis	$11,000,000	$13,240,428
54.	Mehmet Okur	$10,890,000	$13,108,024
55.	Corey Maggette	$10,262,069	$12,352,199
56.	Jason Kidd	$10,121,000	$12,182,397
57.	DeAndre Jordan	$10,079,404	$12,132,329
58.	Rajon Rondo	$10,045,455	$12,091,466
59.	David West	$10,000,000	$12,036,753
59.	Ray Allen	$10,000,000	$12,036,753
61.	Jose Calderon	$9,780,992	$11,773,138
62.	Gerald Wallace	$9,500,000	$11,434,915
63.	Devin Harris	$9,319,000	$11,217,050
64.	Richard Jefferson	$9,282,000	$11,172,514
65.	Stephen Jackson	$9,256,500	$11,141,820
66.	Andrea Bargnani	$9,250,000	$11,133,996
67.	Andris Biedrins	$9,000,000	$10,833,077
67.	Boris Diaw	$9,000,000	$10,833,077
69.	Lamar Odom	$8,900,000	$10,712,710
70.	Luis Scola	$8,591,793	$10,341,729
71.	John Salmons	$8,500,000	$10,231,240
71.	Carl Landry	$8,500,000	$10,231,240
71.	Maurice Williams	$8,500,000	$10,231,240
71.	Rodney Stuckey	$8,500,000	$10,231,240
75.	Paul Millsap	$8,103,435	$9,753,904
76.	Kirk Hinrich	$8,100,000	$9,749,770
77.	Shawn Marion	$8,022,449	$9,656,423
78.	Caron Butler	$8,000,000	$9,629,402
78.	Kris Humphries	$8,000,000	$9,629,402
80.	Andre Miller	$7,807,728	$9,397,969
81.	Jameer Nelson	$7,800,000	$9,388,667
82.	Anderson Varejao	$7,700,000	$9,268,299
83.	Brendan Haywood	$7,624,500	$9,177,422
