	PLAYER	2016/17 	2016/17(*)
125.	Avery Bradley	$8,269,663	$9,322,267
126.	Tiago Splitter	$8,250,000	$9,300,102
127.	Darrell Arthur	$8,070,175	$9,097,388
128.	Kosta Koufos	$8,046,500	$9,070,699
129.	George Hill	$8,000,000	$9,018,280
129.	Anthony Tolliver	$8,000,000	$9,018,280
129.	Garrett Temple	$8,000,000	$9,018,280
129.	Kevin Garnett	$8,000,000	$9,018,280
129.	Jeff Teague	$8,000,000	$9,018,280
129.	Tyler Zeller	$8,000,000	$9,018,280
135.	Channing Frye	$7,806,971	$8,800,682
136.	Trevor Ariza	$7,800,000	$8,792,823
137.	Jose Calderon	$7,708,427	$8,689,594
138.	Al-Farouq Aminu	$7,680,965	$8,658,637
139.	Cole Aldrich	$7,643,979	$8,616,943
140.	Corey Brewer	$7,612,172	$8,581,088
141.	Markieff Morris	$7,400,000	$8,341,909
141.	Festus Ezeli	$7,400,000	$8,341,909
143.	JJ Redick	$7,377,500	$8,316,545
144.	Cory Joseph	$7,315,000	$8,246,090
145.	DJ Augustin	$7,250,000	$8,172,816
146.	Boris Diaw	$7,000,000	$7,890,995
146.	Rodney Stuckey	$7,000,000	$7,890,995
146.	Louis Williams	$7,000,000	$7,890,995
146.	Jeremy Lamb	$7,000,000	$7,890,995
150.	Sergio Rodriguez	$6,800,000	$7,665,538
151.	Carl Landry	$6,750,000	$7,609,174
152.	Ed Davis	$6,666,667	$7,515,234
153.	Isaiah Thomas	$6,587,131	$7,425,574
154.	Victor Oladipo	$6,552,960	$7,387,054
155.	Jodie Meeks	$6,540,000	$7,372,444
156.	Matt Barnes	$6,508,351	$7,336,766
157.	Aron Baynes	$6,500,000	$7,327,353
158.	Marco Belinelli	$6,333,333	$7,139,471
159.	Jae Crowder	$6,286,408	$7,086,574
160.	Lance Thomas	$6,191,000	$6,979,022
160.	Tarik Black	$6,191,000	$6,979,022
162.	Andrew Nicholson	$6,088,993	$6,864,031
163.	Patrick Patterson	$6,050,000	$6,820,074
164.	Andrew Wiggins	$6,006,600	$6,771,150
165.	Wayne Ellington	$6,000,000	$6,763,710
165.	Patrick Beverley	$6,000,000	$6,763,710
165.	Ishmael Smith	$6,000,000	$6,763,710
165.	Ramon Sessions	$6,000,000	$6,763,710
169.	Alex Abrines	$5,994,764	$6,757,808
170.	Karl-Anthony Towns	$5,960,160	$6,718,799
171.	Ben Simmons	$5,903,160	$6,654,544
172.	Otto Porter	$5,893,981	$6,644,196
173.	Spencer Hawes	$5,782,450	$6,518,469
173.	Josh McRoberts	$5,782,450	$6,518,469
173.	Shaun Livingston	$5,782,450	$6,518,469
173.	Nikola Mirotic	$5,782,450	$6,518,469
177.	Brandan Wright	$5,709,880	$6,436,662
178.	Tim Duncan	$5,643,750	$6,362,115
179.	Jared Sullinger	$5,628,000	$6,344,360
179.	Tyler Johnson	$5,628,000	$6,344,360
179.	Wesley Johnson	$5,628,000	$6,344,360
179.	Boban Marjanovic	$5,628,000	$6,344,360
183.	Brandon Jennings	$5,587,318	$6,298,500
184.	Nick Young	$5,443,918	$6,136,847
185.	Jabari Parker	$5,374,320	$6,058,390
186.	Lance Stephenson	$5,371,672	$6,055,405
187.	D'Angelo Russell	$5,332,800	$6,011,585
188.	Josh Smith	$5,331,729	$6,010,378
189.	Cody Zeller	$5,318,313	$5,995,254
190.	PJ Tucker	$5,300,000	$5,974,611
191.	Brandon Ingram	$5,281,680	$5,953,959
192.	Kyle Korver	$5,239,437	$5,906,339
193.	Darren Collison	$5,229,454	$5,895,085
194.	Larry Sanders	$5,207,722	$5,870,586
195.	Langston Galloway	$5,200,000	$5,861,882
196.	Derrick Williams	$5,020,145	$5,659,133
197.	Jason Smith	$5,000,000	$5,636,425
197.	CJ Watson	$5,000,000	$5,636,425
197.	Tony Allen	$5,000,000	$5,636,425
197.	Roy Hibbert	$5,000,000	$5,636,425
197.	Luis Scola	$5,000,000	$5,636,425
197.	Jonas Jerebko	$5,000,000	$5,636,425
203.	Alexis Ajinca	$4,863,206	$5,482,219
204.	Kyle Singler	$4,837,500	$5,453,241
204.	Mike Dunleavy	$4,837,500	$5,453,241
206.	Joel Embiid	$4,826,160	$5,440,458
207.	Alex Len	$4,823,621	$5,437,596
208.	Jahlil Okafor	$4,788,840	$5,398,387
209.	Jaylen Brown	$4,743,000	$5,346,713
210.	Marcus Morris	$4,625,000	$5,213,693
211.	CJ Miles	$4,583,450	$5,166,854
212.	Jameer Nelson	$4,540,525	$5,118,466
213.	Nerlens Noel	$4,384,490	$4,942,570
214.	Aaron Gordon	$4,351,320	$4,905,178
215.	Greivis Vasquez	$4,347,826	$4,901,239
216.	Kristaps Porzingis	$4,317,720	$4,867,301
217.	Dragan Bender	$4,276,320	$4,820,631
218.	Vince Carter	$4,264,057	$4,806,807
219.	Devin Harris	$4,227,996	$4,766,156
220.	Jose Juan Barea	$4,096,950	$4,618,430
221.	Ben McLemore	$4,008,882	$4,519,152
222.	Leandro Barbosa	$4,000,000	$4,509,140
222.	Jordan Hill	$4,000,000	$4,509,140
222.	Udonis Haslem	$4,000,000	$4,509,140
222.	James Johnson	$4,000,000	$4,509,140
222.	Thabo Sefolosha	$4,000,000	$4,509,140
227.	Dante Exum	$3,940,320	$4,441,864
228.	Kyle O'Quinn	$3,918,750	$4,417,548
229.	Mario Hezonja	$3,909,840	$4,407,504
230.	Kris Dunn	$3,872,520	$4,365,434
231.	Nemanja Bjelica	$3,800,000	$4,283,683
232.	Nick Collison	$3,750,000	$4,227,319
233.	Kentavious Caldwell-Pope	$3,678,319	$4,146,514
234.	Quincy Pondexter	$3,617,978	$4,078,492
235.	Marcus Smart	$3,578,880	$4,034,418
236.	Bojan Bogdanovic	$3,573,020	$4,027,812
237.	Willie Cauley-Stein	$3,551,160	$4,003,169
