	PLAYER	2017/18 	2017/18(*)
1.	Stephen Curry	$34,682,550	$38,468,739
2.	LeBron James	$33,285,709	$36,919,409
3.	Paul Millsap	$30,769,231	$34,128,215
4.	Gordon Hayward	$29,727,900	$32,973,205
5.	Blake Griffin	$29,512,900	$32,734,734
6.	Kyle Lowry	$28,903,704	$32,059,034
7.	Mike Conley	$28,530,608	$31,645,208
8.	Russell Westbrook	$28,299,399	$31,388,759
8.	James Harden	$28,299,399	$31,388,759
10.	DeMar DeRozan	$27,739,975	$30,768,264
11.	Al Horford	$27,734,405	$30,762,086
12.	Carmelo Anthony	$26,243,760	$29,108,712
13.	Damian Lillard	$26,153,057	$29,008,107
14.	Jrue Holiday	$25,686,667	$28,490,803
15.	Chris Bosh	$25,289,390	$28,050,156
16.	Kevin Durant	$25,000,000	$27,729,174
17.	Otto Porter	$24,773,250	$27,477,671
18.	Chris Paul	$24,268,959	$26,918,328
19.	CJ McCollum	$23,962,573	$26,578,494
20.	Bradley Beal	$23,775,506	$26,371,006
20.	Anthony Davis	$23,775,506	$26,371,006
20.	Hassan Whiteside	$23,775,506	$26,371,006
20.	Andre Drummond	$23,775,506	$26,371,006
24.	Dwight Howard	$23,500,000	$26,065,424
25.	Chandler Parsons	$23,112,004	$25,635,071
25.	Harrison Barnes	$23,112,004	$25,635,071
27.	JJ Redick	$23,000,000	$25,510,840
28.	Marc Gasol	$22,642,350	$25,114,147
28.	Brook Lopez	$22,642,350	$25,114,147
28.	DeAndre Jordan	$22,642,350	$25,114,147
28.	Kevin Love	$22,642,350	$25,114,147
32.	Steven Adams	$22,471,911	$24,925,101
32.	Giannis Antetokounmpo	$22,471,911	$24,925,101
34.	Nicolas Batum	$22,434,783	$24,883,920
35.	LaMarcus Aldridge	$21,461,010	$23,803,843
36.	Greg Monroe	$21,384,175	$23,718,620
37.	Rudy Gobert	$21,224,719	$23,541,757
38.	Victor Oladipo	$21,000,000	$23,292,506
39.	Danilo Gallinari	$20,559,599	$22,804,028
40.	Serge Ibaka	$20,061,729	$22,251,807
41.	George Hill	$20,000,000	$22,183,339
42.	Ryan Anderson	$19,578,455	$21,715,775
43.	Paul George	$19,300,000	$21,406,922
44.	Jeff Teague	$19,000,000	$21,074,172
45.	Kyrie Irving	$18,868,626	$20,928,457
46.	Kawhi Leonard	$18,868,625	$20,928,455
47.	Jimmy Butler	$18,696,918	$20,738,004
48.	Allen Crabbe	$18,500,000	$20,519,589
49.	John Wall	$18,063,850	$20,035,826
49.	DeMarcus Cousins	$18,063,850	$20,035,826
51.	Enes Kanter	$17,884,176	$19,836,537
52.	Wesley Matthews	$17,884,175	$19,836,536
53.	Dwyane Wade	$17,878,652	$19,830,409
54.	Klay Thompson	$17,826,150	$19,772,177
55.	Joakim Noah	$17,765,000	$19,704,351
56.	Kentavious Caldwell-Pope	$17,745,894	$19,683,159
57.	Luol Deng	$17,190,000	$19,066,580
58.	Evan Turner	$17,131,148	$19,001,303
59.	Goran Dragic	$17,000,450	$18,856,337
60.	Evan Fournier	$17,000,000	$18,855,838
60.	Bismack Biyombo	$17,000,000	$18,855,838
62.	Kent Bazemore	$16,910,112	$18,756,138
63.	Robert Covington	$16,698,103	$18,520,984
64.	Tim Hardaway Jr	$16,500,000	$18,301,255
65.	Draymond Green	$16,400,000	$18,190,338
65.	Tristan Thompson	$16,400,000	$18,190,338
67.	Ian Mahinmi	$16,000,000	$17,746,671
67.	Pau Gasol	$16,000,000	$17,746,671
67.	Tobias Harris	$16,000,000	$17,746,671
67.	Reggie Jackson	$16,000,000	$17,746,671
71.	Dennis Schroeder	$15,500,000	$17,192,088
72.	Jonas Valanciunas	$15,460,675	$17,148,470
73.	Tony Parker	$15,453,126	$17,140,097
74.	Timofey Mozgov	$15,280,000	$16,948,071
