	PLAYER	2010/11 	2010/11(*)
1.	Kobe Bryant	$24,806,250	$30,921,289
2.	Rashard Lewis	$19,573,711	$24,398,866
3.	Kevin Garnett	$18,800,000	$23,434,426
4.	Tim Duncan	$18,700,000	$23,309,775
5.	Michael Redd	$18,300,000	$22,811,170
6.	Andrei Kirilenko	$17,823,000	$22,216,584
6.	Pau Gasol	$17,823,000	$22,216,584
8.	Gilbert Arenas	$17,730,694	$22,101,523
9.	Yao Ming	$17,686,100	$22,045,936
10.	Zach Randolph	$17,666,666	$22,021,712
11.	Vince Carter	$17,300,000	$21,564,658
12.	Dirk Nowitzki	$17,278,618	$21,538,005
13.	Carmelo Anthony	$17,149,243	$21,376,738
14.	Dwight Howard	$16,647,180	$20,750,910
15.	Kenyon Martin	$16,545,454	$20,624,107
16.	Amare Stoudemire	$16,486,611	$20,550,759
17.	Joe Johnson	$16,324,500	$20,348,686
18.	Elton Brand	$15,959,099	$19,893,209
19.	Predrag Stojakovic	$15,532,320	$19,361,223
20.	Chris Paul	$14,940,153	$18,623,080
21.	Deron Williams	$14,940,152	$18,623,079
22.	Chris Bosh	$14,500,000	$18,074,424
22.	LeBron James	$14,500,000	$18,074,424
24.	Jason Richardson	$14,444,444	$18,005,173
25.	Carlos Boozer	$14,400,000	$17,949,773
26.	Dwyane Wade	$14,200,000	$17,700,471
27.	Paul Pierce	$13,876,321	$17,297,001
28.	Andrew Bynum	$13,700,000	$17,077,215
29.	Rudy Gay	$13,603,750	$16,957,238
30.	Brandon Roy	$13,520,500	$16,853,466
31.	Tony Parker	$13,500,000	$16,827,912
32.	Samuel Dalembert	$13,428,129	$16,738,324
33.	Antawn Jamison	$13,358,905	$16,652,036
34.	Nick Collison	$13,250,000	$16,516,284
35.	Chauncey Billups	$13,150,000	$16,391,633
36.	Al Jefferson	$13,000,000	$16,204,656
36.	Baron Davis	$13,000,000	$16,204,656
38.	Tyson Chandler	$12,600,000	$15,706,051
39.	Richard Hamilton	$12,500,000	$15,581,400
40.	Andre Iguodala	$12,345,250	$15,388,502
41.	Troy Murphy	$11,968,253	$14,918,571
42.	Manu Ginobili	$11,854,584	$14,776,881
43.	Chris Kaman	$11,800,000	$14,708,842
44.	Marcus Camby	$11,749,832	$14,646,307
45.	Josh Smith	$11,600,000	$14,459,539
46.	Eddy Curry	$11,530,592	$14,373,021
47.	Emeka Okafor	$11,495,000	$14,328,656
48.	Nenê	$11,360,000	$14,160,376
49.	Luol Deng	$11,345,000	$14,141,679
50.	LaMarcus Aldridge	$11,244,000	$14,015,781
51.	Tayshaun Prince	$11,148,760	$13,897,063
52.	Kevin Martin	$11,100,005	$13,836,290
53.	Andrew Bogut	$11,000,000	$13,711,632
53.	Monta Ellis	$11,000,000	$13,711,632
55.	Danny Granger	$10,973,202	$13,678,228
56.	David Lee	$10,800,000	$13,462,330
56.	Ben Gordon	$10,800,000	$13,462,330
56.	Jamal Crawford	$10,800,000	$13,462,330
59.	Jason Terry	$10,650,000	$13,275,353
60.	Mike Dunleavy	$10,561,984	$13,165,640
61.	Caron Butler	$10,561,960	$13,165,610
62.	Gerald Wallace	$10,500,000	$13,088,376
63.	Steve Nash	$10,310,938	$12,852,708
64.	Hidayet Turkoglu	$10,215,850	$12,734,180
65.	Ray Allen	$10,000,000	$12,465,120
66.	Mehmet Okur	$9,945,000	$12,396,562
67.	Corey Maggette	$9,600,000	$11,966,515
68.	Maurice Williams	$9,300,000	$11,592,562
69.	Rajon Rondo	$9,090,911	$11,331,930
70.	Jose Calderon	$9,000,000	$11,218,608
70.	Andris Biedrins	$9,000,000	$11,218,608
70.	Boris Diaw	$9,000,000	$11,218,608
70.	Kirk Hinrich	$9,000,000	$11,218,608
74.	Devin Harris	$8,981,000	$11,194,924
75.	Jason Kidd	$8,610,500	$10,733,092
76.	Andrea Bargnani	$8,500,000	$10,595,352
76.	TJ Ford	$8,500,000	$10,595,352
78.	Stephen Jackson	$8,453,250	$10,537,078
79.	Richard Jefferson	$8,400,000	$10,470,701
80.	David West	$8,287,500	$10,330,468
81.	Lamar Odom	$8,200,000	$10,221,398
82.	John Salmons	$8,000,000	$9,972,096
83.	Jameer Nelson	$7,800,000	$9,722,794
84.	Luis Scola	$7,775,378	$9,692,102
85.	Marko Jaric	$7,625,000	$9,504,654
86.	Paul Millsap	$7,600,000	$9,473,491
87.	Raymond Felton	$7,500,000	$9,348,840
88.	Joel Przybilla	$7,405,300	$9,230,795
89.	Shane Battier	$7,354,500	$9,167,472
90.	Shawn Marion	$7,305,500	$9,106,393
91.	Anderson Varejao	$7,281,818	$9,076,873
92.	Andre Miller	$7,269,264	$9,061,225
93.	JJ Redick	$7,250,000	$9,037,212
94.	Dan Gadzuric	$7,248,325	$9,035,124
95.	James Posey	$7,148,800	$8,911,065
96.	Leandro Barbosa	$7,100,000	$8,850,235
97.	Charlie Villanueva	$7,020,000	$8,750,514
98.	Travis Outlaw	$7,000,000	$8,725,584
99.	Brendan Haywood	$6,900,000	$8,600,933
100.	Nazr Mohammed	$6,883,800	$8,580,739
100.	Jared Jeffries	$6,883,800	$8,580,739
100.	Vladimir Radmanovic	$6,883,800	$8,580,739
103.	Andres Nocioni	$6,850,000	$8,538,607
104.	Greg Oden	$6,760,524	$8,427,074
105.	JR Smith	$6,757,851	$8,423,742
106.	Marvin Williams	$6,712,500	$8,367,212
107.	Morris Peterson	$6,665,000	$8,308,002
108.	Jeff Foster	$6,655,000	$8,295,537
109.	Jason Kapono	$6,641,440	$8,278,635
110.	Tyrus Thomas	$6,611,570	$8,241,401
111.	Josh Childress	$6,500,000	$8,102,328
112.	Beno Udrih	$6,478,600	$8,075,652
112.	DeSagana Diop	$6,478,600	$8,075,652
114.	Marcin Gortat	$6,322,320	$7,880,848
114.	Trevor Ariza	$6,322,320	$7,880,848
114.	Metta World Peace	$6,322,320	$7,880,848
114.	Rasheed Wallace	$6,322,320	$7,880,848
118.	Kevin Durant	$6,053,663	$7,545,963
119.	Andray Blatche	$5,900,000	$7,354,421
120.	Wesley Matthews	$5,765,000	$7,186,141
120.	Al Harrington	$5,765,000	$7,186,141
120.	Jermaine O'Neal	$5,765,000	$7,186,141
123.	Drew Gooden	$5,760,000	$7,179,909
124.	Kyle Lowry	$5,750,000	$7,167,444
125.	Mike Bibby	$5,564,767	$6,936,549
126.	Derrick Rose	$5,546,160	$6,913,355
127.	Nenad Krstic	$5,543,116	$6,909,560
128.	Francisco Garcia	$5,500,000	$6,855,816
128.	Jamaal Tinsley	$5,500,000	$6,855,816
130.	Sasha Vujacic	$5,475,113	$6,824,794
131.	Al Horford	$5,444,857	$6,787,079
132.	Blake Griffin	$5,357,280	$6,677,914
133.	Mickael Pietrus	$5,300,000	$6,606,513
134.	Luke Walton	$5,260,000	$6,556,653
135.	Channing Frye	$5,200,000	$6,481,862
136.	John Wall	$5,144,280	$6,412,407
137.	Reggie Evans	$5,080,000	$6,332,281
138.	Amir Johnson	$5,000,000	$6,232,560
138.	Louis Williams	$5,000,000	$6,232,560
138.	Mike Miller	$5,000,000	$6,232,560
138.	Jason Maxiell	$5,000,000	$6,232,560
138.	Kyle Korver	$5,000,000	$6,232,560
143.	Linas Kleiza	$4,995,000	$6,226,327
144.	Michael Beasley	$4,962,240	$6,185,491
145.	Mike Conley	$4,913,007	$6,124,122
146.	Antonio McDyess	$4,860,000	$6,058,048
147.	Marcus Banks	$4,847,586	$6,042,574
148.	Darius Songaila	$4,818,000	$6,005,695
149.	Martell Webster	$4,800,000	$5,983,257
150.	Hasheem Thabeet	$4,793,280	$5,974,881
151.	Ronnie Brewer	$4,790,000	$5,970,792
152.	Kendrick Perkins	$4,640,208	$5,784,075
153.	Evan Turner	$4,602,720	$5,737,345
154.	Jarrett Jack	$4,600,000	$5,733,955
155.	Chris Andersen	$4,533,300	$5,650,813
156.	OJ Mayo	$4,456,200	$5,554,707
157.	Jeff Green	$4,455,988	$5,554,442
158.	Charlie Bell	$4,447,792	$5,544,226
159.	Brad Miller	$4,400,000	$5,484,653
160.	Darko Milicic	$4,325,000	$5,391,164
161.	James Harden	$4,304,520	$5,365,636
162.	Matt Carroll	$4,300,000	$5,360,001
163.	Zaza Pachulia	$4,251,250	$5,299,234
164.	Hakim Warrick	$4,250,000	$5,297,676
164.	Randy Foye	$4,250,000	$5,297,676
166.	Nate Robinson	$4,200,000	$5,235,350
167.	DeShawn Stevenson	$4,151,786	$5,175,251
168.	Derrick Favors	$4,133,280	$5,152,183
169.	Yi Jianlian	$4,050,499	$5,048,995
170.	Russell Westbrook	$4,017,720	$5,008,136
171.	Daniel Gibson	$4,015,334	$5,005,162
172.	Brandon Bass	$4,000,000	$4,986,048
172.	Ronny Turiaf	$4,000,000	$4,986,048
172.	Luke Ridnour	$4,000,000	$4,986,048
172.	Nikola Pekovic	$4,000,000	$4,986,048
172.	Steve Blake	$4,000,000	$4,986,048
172.	Ryan Gomes	$4,000,000	$4,986,048
172.	Anthony Morrow	$4,000,000	$4,986,048
179.	Willie Green	$3,976,000	$4,956,131
180.	Ramon Sessions	$3,964,320	$4,941,572
181.	Tyreke Evans	$3,880,920	$4,837,613
182.	Jordan Farmar	$3,750,000	$4,674,420
183.	Wesley Johnson	$3,726,600	$4,645,251
184.	Corey Brewer	$3,703,472	$4,616,422
185.	CJ Miles	$3,700,000	$4,612,094
185.	Derek Fisher	$3,700,000	$4,612,094
187.	Kevin Love	$3,638,280	$4,535,159
188.	Timofey Mozgov	$3,567,096	$4,446,428
189.	Chris Duhon	$3,500,000	$4,362,792
189.	Carlos Delfino	$3,500,000	$4,362,792
189.	Udonis Haslem	$3,500,000	$4,362,792
189.	Dorell Wright	$3,500,000	$4,362,792
189.	Shaun Livingston	$3,500,000	$4,362,792
194.	Marc Gasol	$3,480,000	$4,337,861
195.	Tiago Splitter	$3,400,000	$4,238,140
196.	Brandan Wright	$3,398,072	$4,235,737
197.	DeMarcus Cousins	$3,374,640	$4,206,529
198.	Grant Hill	$3,324,000	$4,143,406
199.	Danilo Gallinari	$3,304,560	$4,119,173
200.	Kelenna Azubuike	$3,300,000	$4,113,489
200.	Joel Anthony	$3,300,000	$4,113,489
200.	Glen Davis	$3,300,000	$4,113,489
203.	Thabo Sefolosha	$3,250,000	$4,051,164
203.	Will Bynum	$3,250,000	$4,051,164
203.	Johan Petro	$3,250,000	$4,051,164
206.	Kris Humphries	$3,200,000	$3,988,838
207.	Jonny Flynn	$3,192,000	$3,978,866
208.	Joakim Noah	$3,128,536	$3,899,757
209.	CJ Watson	$3,100,000	$3,864,187
210.	Ekpe Udoh	$3,065,040	$3,820,609
211.	Eric Gordon	$3,016,680	$3,760,327
212.	Josh Howard	$3,000,000	$3,739,536
212.	Raja Bell	$3,000,000	$3,739,536
212.	Matt Bonner	$3,000,000	$3,739,536
212.	Carl Landry	$3,000,000	$3,739,536
212.	Tony Allen	$3,000,000	$3,739,536
212.	Jamario Moon	$3,000,000	$3,739,536
212.	Chris Wilcox	$3,000,000	$3,739,536
212.	Eduardo Najera	$3,000,000	$3,739,536
220.	Spencer Hawes	$2,974,320	$3,707,525
221.	Stephen Curry	$2,913,840	$3,632,136
222.	Thaddeus Young	$2,901,241	$3,616,431
223.	Julian Wright	$2,858,057	$3,562,602
224.	Anthony Parker	$2,855,700	$3,559,664
225.	Al Thornton	$2,814,196	$3,507,929
