	PLAYER	2012/13 	2012/13(*)
1.	Kobe Bryant	$27,849,000	$32,972,493
2.	Brandon Roy	$21,459,805	$25,407,851
3.	Dirk Nowitzki	$20,907,128	$24,753,497
4.	Gilbert Arenas	$20,807,922	$24,636,039
5.	Amare Stoudemire	$19,948,799	$23,618,860
6.	Joe Johnson	$19,752,645	$23,386,619
7.	Carmelo Anthony	$19,450,000	$23,028,295
8.	Dwight Howard	$19,261,200	$22,804,761
9.	Pau Gasol	$19,000,000	$22,495,507
10.	Elton Brand	$18,160,354	$21,501,387
11.	Chris Paul	$17,779,457	$21,050,415
12.	Kevin Durant	$17,548,838	$20,777,369
13.	Chris Bosh	$17,545,000	$20,772,824
13.	LeBron James	$17,545,000	$20,772,824
15.	Deron Williams	$17,177,795	$20,338,063
16.	Dwyane Wade	$17,024,000	$20,155,974
17.	Paul Pierce	$16,790,345	$19,879,332
18.	Zach Randolph	$16,500,000	$19,535,572
19.	Andrew Bynum	$16,473,002	$19,503,607
20.	Rudy Gay	$16,460,532	$19,488,842
21.	Derrick Rose	$16,402,500	$19,420,134
22.	Rashard Lewis	$15,052,181	$17,821,391
23.	Al Jefferson	$15,000,000	$17,759,610
23.	Carlos Boozer	$15,000,000	$17,759,610
25.	Baron Davis	$14,850,000	$17,582,014
26.	Andre Iguodala	$14,718,250	$17,426,026
27.	Manu Ginobili	$14,107,492	$16,702,904
28.	Marc Gasol	$13,891,359	$16,447,008
29.	Russell Westbrook	$13,668,750	$16,183,445
29.	Eric Gordon	$13,668,750	$16,183,445
29.	Kevin Love	$13,668,750	$16,183,445
29.	Roy Hibbert	$13,668,750	$16,183,445
33.	Brook Lopez	$13,668,000	$16,182,557
34.	Tyson Chandler	$13,604,188	$16,107,005
35.	Emeka Okafor	$13,543,250	$16,034,856
36.	Luol Deng	$13,326,700	$15,778,467
37.	Josh Smith	$13,200,000	$15,628,457
38.	Andrew Bogut	$13,150,000	$15,569,258
39.	Danny Granger	$13,058,606	$15,461,050
40.	Nenê	$13,000,000	$15,391,662
40.	LaMarcus Aldridge	$13,000,000	$15,391,662
42.	Kevin Martin	$12,939,675	$15,320,239
43.	David Lee	$12,744,000	$15,088,565
44.	Tony Parker	$12,500,000	$14,799,675
45.	Kevin Garnett	$12,467,532	$14,761,234
46.	Ben Gordon	$12,400,000	$14,681,278
47.	Kris Humphries	$12,000,000	$14,207,688
47.	Al Horford	$12,000,000	$14,207,688
49.	Nicolas Batum	$11,950,000	$14,148,490
50.	Hidayet Turkoglu	$11,815,850	$13,989,659
51.	Joakim Noah	$11,050,000	$13,082,913
52.	Jose Calderon	$11,046,591	$13,078,877
53.	Monta Ellis	$11,000,000	$13,023,714
53.	Rajon Rondo	$11,000,000	$13,023,714
55.	Corey Maggette	$10,924,138	$12,933,896
56.	DeAndre Jordan	$10,532,977	$12,470,771
