	PLAYER	2018/19 	2018/19(*)
1.	Stephen Curry	$37,457,154	$40,386,520
2.	Russell Westbrook	$35,665,000	$38,454,209
3.	LeBron James	$35,654,150	$38,442,511
3.	Chris Paul	$35,654,150	$38,442,511
5.	Kyle Lowry	$32,700,000	$35,257,329
6.	Blake Griffin	$31,873,932	$34,366,658
7.	Gordon Hayward	$31,214,295	$33,655,433
8.	James Harden	$30,570,000	$32,960,751
9.	Paul George	$30,560,700	$32,950,723
10.	Mike Conley	$30,521,115	$32,908,043
11.	Kevin Durant	$30,000,000	$32,346,173
12.	Paul Millsap	$29,230,769	$31,516,784
13.	Al Horford	$28,928,710	$31,191,102
14.	Damian Lillard	$27,977,689	$30,165,706
15.	DeMar DeRozan	$27,739,975	$29,909,401
16.	Chris Bosh	$26,837,720	$28,936,585
17.	Jrue Holiday	$26,641,111	$28,724,600
18.	Otto Porter	$26,011,913	$28,046,195
19.	CJ McCollum	$25,759,766	$27,774,328
20.	Joel Embiid	$25,467,250	$27,458,936
20.	Andrew Wiggins	$25,467,250	$27,458,936
20.	Nikola Jokic	$25,467,250	$27,458,936
23.	Anthony Davis	$25,434,263	$27,423,369
24.	Bradley Beal	$25,434,262	$27,423,368
24.	Andre Drummond	$25,434,262	$27,423,368
26.	Hassan Whiteside	$24,434,262	$26,345,162
27.	Dwight Howard	$24,256,725	$26,153,741
28.	Steven Adams	$24,157,304	$26,046,545
28.	Giannis Antetokounmpo	$24,157,304	$26,046,545
30.	Marc Gasol	$24,119,025	$26,005,272
30.	Kevin Love	$24,119,025	$26,005,272
32.	Harrison Barnes	$24,107,258	$25,992,585
32.	Chandler Parsons	$24,107,258	$25,992,585
34.	Nicolas Batum	$24,000,000	$25,876,939
35.	Rudy Gobert	$23,491,573	$25,328,750
36.	Kawhi Leonard	$23,114,066	$24,921,719
37.	DeAndre Jordan	$22,897,200	$24,687,893
38.	LaMarcus Aldridge	$22,347,015	$24,094,681
39.	Serge Ibaka	$21,666,667	$23,361,125
40.	Aaron Gordon	$21,590,909	$23,279,443
41.	Danilo Gallinari	$21,587,579	$23,275,852
42.	Victor Oladipo	$21,000,000	$22,642,321
43.	Ryan Anderson	$20,421,546	$22,018,629
44.	Joakim Noah	$20,261,172	$21,845,712
45.	Kyrie Irving	$20,099,189	$21,671,062
46.	Jabari Parker	$20,000,000	$21,564,115
47.	Jimmy Butler	$19,841,627	$21,393,357
48.	Zach LaVine	$19,500,000	$21,025,012
49.	Wesley Matthews	$19,360,228	$20,874,309
50.	Allen Crabbe	$19,332,500	$20,844,413
51.	Enes Kanter	$19,264,603	$20,771,206
52.	Tyler Johnson	$19,245,370	$20,750,469
53.	John Wall	$19,169,800	$20,668,989
54.	Jeff Teague	$19,000,000	$20,485,910
54.	George Hill	$19,000,000	$20,485,910
56.	Klay Thompson	$18,988,725	$20,473,753
57.	Goran Dragic	$18,109,175	$19,525,417
58.	Kent Bazemore	$18,089,888	$19,504,622
59.	Evan Turner	$17,868,853	$19,266,300
60.	Draymond Green	$17,469,565	$18,835,786
60.	Tristan Thompson	$17,469,565	$18,835,786
62.	Tim Hardaway Jr	$17,325,000	$18,679,915
63.	Pau Gasol	$17,133,285	$18,473,206
64.	Reggie Jackson	$17,043,478	$18,376,376
65.	Evan Fournier	$17,000,000	$18,329,498
65.	Bismack Biyombo	$17,000,000	$18,329,498
67.	Derrick Favors	$16,900,000	$18,221,677
68.	Luol Deng	$16,747,954	$18,057,740
69.	Jonas Valanciunas	$16,539,326	$17,832,797
70.	Gary Harris	$16,517,857	$17,809,649
71.	Ian Mahinmi	$16,000,000	$17,251,292
71.	Timofey Mozgov	$16,000,000	$17,251,292
71.	Andre Iguodala	$16,000,000	$17,251,292
74.	Clint Capela	$15,793,104	$17,028,216
75.	Dennis Schroeder	$15,500,000	$16,712,189
76.	DeMarre Carroll	$15,400,000	$16,604,369
77.	Gorgui Dieng	$15,170,787	$16,357,230
78.	Trevor Ariza	$15,000,000	$16,173,086
78.	Eric Bledsoe	$15,000,000	$16,173,086
80.	Ricky Rubio	$14,800,000	$15,957,445
80.	Tobias Harris	$14,800,000	$15,957,445
82.	JR Smith	$14,720,000	$15,871,189
83.	Brandon Knight	$14,631,250	$15,775,498
84.	James Johnson	$14,420,700	$15,548,482
85.	Robin Lopez	$14,357,750	$15,480,609
86.	Kenneth Faried	$14,242,782	$15,356,649
87.	Marvin Williams	$14,087,500	$15,189,224
88.	Taj Gibson	$14,000,000	$15,094,881
89.	Thaddeus Young	$13,764,045	$14,840,473
90.	Tyson Chandler	$13,585,000	$14,647,425
91.	Marcin Gortat	$13,565,218	$14,626,096
92.	Kelly Olynyk	$13,537,527	$14,596,240
93.	Cody Zeller	$13,528,090	$14,586,065
94.	Eric Gordon	$13,500,375	$14,556,182
95.	Austin Rivers	$13,155,324	$14,184,146
96.	Khris Middleton	$13,000,000	$14,016,675
96.	Michael Kidd-Gilchrist	$13,000,000	$14,016,675
98.	Mason Plumlee	$12,917,808	$13,928,055
99.	Wilson Chandler	$12,800,562	$13,801,640
100.	Solomon Hill	$12,763,467	$13,761,644
101.	Nikola Vucevic	$12,750,000	$13,747,123
102.	Dion Waiters	$12,705,000	$13,698,604
103.	Joe Ingles	$12,545,455	$13,526,582
104.	Jeremy Lin	$12,516,746	$13,495,627
105.	Nikola Mirotic	$12,500,000	$13,477,572
105.	Jordan Clarkson	$12,500,000	$13,477,572
107.	Tyreke Evans	$12,400,000	$13,369,751
107.	Miles Plumlee	$12,400,000	$13,369,751
109.	Courtney Lee	$12,253,780	$13,212,096
110.	JJ Redick	$12,250,000	$13,208,020
111.	Avery Bradley	$12,000,000	$12,938,469
111.	Kentavious Caldwell-Pope	$12,000,000	$12,938,469
111.	Kemba Walker	$12,000,000	$12,938,469
114.	Will Barton	$11,830,358	$12,755,560
115.	TJ Warren	$11,750,000	$12,668,918
116.	Zach Randolph	$11,692,308	$12,606,714
117.	Patrick Mills	$11,571,429	$12,476,381
118.	Alec Burks	$11,536,515	$12,438,737
119.	Omer Asik	$11,286,516	$12,169,186
120.	Marcus Smart	$11,160,716	$12,033,548
121.	Jusuf Nurkic	$11,111,111	$11,980,064
122.	Iman Shumpert	$11,011,234	$11,872,376
123.	Moe Harkless	$10,837,079	$11,684,601
124.	Tony Snell	$10,607,143	$11,436,683
125.	Dante Exum	$10,600,000	$11,428,981
126.	Meyers Leonard	$10,595,506	$11,424,135
127.	John Henson	$10,577,466	$11,404,685
128.	Terrence Ross	$10,500,000	$11,321,160
128.	Mirza Teletovic	$10,500,000	$11,321,160
128.	Bojan Bogdanovic	$10,500,000	$11,321,160
131.	Robert Covington	$10,464,092	$11,282,444
132.	Rudy Gay	$10,087,200	$10,876,077
133.	Jon Leuer	$10,002,681	$10,784,948
134.	Danny Green	$10,000,000	$10,782,057
134.	Andre Roberson	$10,000,000	$10,782,057
134.	Darren Collison	$10,000,000	$10,782,057
137.	Dwight Powell	$9,631,250	$10,384,469
138.	Matthew Dellavedova	$9,607,500	$10,358,862
139.	Jared Dudley	$9,530,000	$10,275,301
140.	Boban Marjanovic	$9,490,740	$10,232,970
141.	Norman Powell	$9,367,200	$10,099,769
141.	Josh Richardson	$9,367,200	$10,099,769
143.	Markieff Morris	$9,173,294	$9,890,697
144.	Bogdan Bogdanovic	$9,000,000	$9,703,852
144.	Rajon Rondo	$9,000,000	$9,703,852
146.	E'Twaun Moore	$8,808,685	$9,497,575
147.	Kosta Koufos	$8,739,500	$9,422,979
148.	Fred VanVleet	$8,653,847	$9,330,627
149.	Wayne Ellington	$8,653,076	$9,329,796
150.	Julius Randle	$8,641,000	$9,316,776
150.	Kyle Anderson	$8,641,000	$9,316,776
152.	Jerryd Bayless	$8,575,916	$9,246,602
153.	Cristiano Felicio	$8,470,980	$9,133,459
154.	Markelle Fultz	$8,339,880	$8,992,106
155.	Jerami Grant	$8,333,333	$8,985,047
155.	CJ Miles	$8,333,333	$8,985,047
155.	Joe Harris	$8,333,333	$8,985,047
158.	Shaun Livingston	$8,307,692	$8,957,401
159.	Deandre Ayton	$8,175,840	$8,815,238
160.	JaMychal Green	$8,066,667	$8,697,527
161.	Garrett Temple	$8,000,000	$8,625,646
161.	Louis Williams	$8,000,000	$8,625,646
163.	PJ Tucker	$7,959,537	$8,582,018
164.	Cory Joseph	$7,945,000	$8,566,345
165.	Karl-Anthony Towns	$7,839,435	$8,452,524
166.	Kyle Korver	$7,560,000	$8,151,235
167.	Darrell Arthur	$7,464,912	$8,048,711
168.	Lonzo Ball	$7,461,960	$8,045,528
169.	Doug McDermott	$7,333,334	$7,906,843
