PLAYER	2015/16 	2015/16(*)
1.	Kobe Bryant	$25,000,000	$28,463,195
2.	LeBron James	$22,970,500	$26,152,553
3.	Carmelo Anthony	$22,875,000	$26,043,823
4.	Dwight Howard	$22,359,364	$25,456,757
5.	Joe Johnson	$22,309,344	$25,399,808
6.	Chris Bosh	$22,192,730	$25,267,040
7.	Kevin Durant	$21,971,850	$25,015,562
8.	Chris Paul	$21,468,695	$24,442,706
9.	Derrick Rose	$20,093,064	$22,876,512
10.	Dwyane Wade	$20,000,000	$22,770,556
11.	LaMarcus Aldridge	$19,689,000	$22,416,474
11.	Marc Gasol	$19,689,000	$22,416,474
11.	DeAndre Jordan	$19,689,000	$22,416,474
11.	Kevin Love	$19,689,000	$22,416,474
11.	Brook Lopez	$19,689,000	$22,416,474
16.	Blake Griffin	$18,862,876	$21,475,908
17.	Paul Millsap	$18,671,659	$21,258,203
18.	David Lee	$17,120,776	$19,492,479
19.	Paul George	$16,900,000	$19,241,120
20.	Russell Westbrook	$16,744,218	$19,063,757
21.	Kawhi Leonard	$16,407,500	$18,680,395
21.	Enes Kanter	$16,407,500	$18,680,395
21.	Greg Monroe	$16,407,500	$18,680,395
21.	Wesley Matthews	$16,407,500	$18,680,395
21.	Kyrie Irving	$16,407,500	$18,680,395
21.	Jimmy Butler	$16,407,500	$18,680,395
27.	Tobias Harris	$16,000,000	$18,216,444
28.	James Harden	$15,719,062	$17,896,589
29.	Eric Gordon	$15,514,031	$17,663,155
29.	Roy Hibbert	$15,514,031	$17,663,155
31.	Klay Thompson	$15,501,000	$17,648,319
32.	Gordon Hayward	$15,409,570	$17,544,224
33.	Chandler Parsons	$15,361,500	$17,489,494
34.	Goran Dragic	$14,783,000	$16,830,856
35.	John Wall	$14,728,844	$16,769,198
35.	DeMarcus Cousins	$14,728,844	$16,769,198
37.	Khris Middleton	$14,700,000	$16,736,358
38.	Draymond Green	$14,260,870	$16,236,397
39.	Tristan Thompson	$14,260,000	$16,235,406
40.	Danilo Gallinari	$14,000,000	$15,939,389
41.	Reggie Jackson	$13,913,044	$15,840,387
42.	DeMarre Carroll	$13,600,000	$15,483,978
43.	Brandon Knight	$13,500,000	$15,370,125
43.	Eric Bledsoe	$13,500,000	$15,370,125
43.	Al Jefferson	$13,500,000	$15,370,125
46.	Tony Parker	$13,437,500	$15,298,967
47.	Joakim Noah	$13,400,000	$15,256,272
48.	JaVale McGee	$13,270,964	$15,109,360
49.	Nenê	$13,000,000	$14,800,861
49.	Tyson Chandler	$13,000,000	$14,800,861
51.	Ricky Rubio	$12,700,000	$14,459,303
52.	Robin Lopez	$12,650,000	$14,402,376
53.	Ty Lawson	$12,444,552	$14,168,467
54.	Rudy Gay	$12,403,101	$14,121,275
55.	Serge Ibaka	$12,250,000	$13,946,965
56.	Nikola Pekovic	$12,100,000	$13,776,186
57.	Derrick Favors	$12,000,000	$13,662,333
57.	Kyle Lowry	$12,000,000	$13,662,333
57.	Andrew Bogut	$12,000,000	$13,662,333
57.	Kemba Walker	$12,000,000	$13,662,333
57.	Amir Johnson	$12,000,000	$13,662,333
57.	Al Horford	$12,000,000	$13,662,333
63.	Nicolas Batum	$11,860,750	$13,503,793
64.	Andre Iguodala	$11,710,456	$13,332,679
65.	Stephen Curry	$11,370,786	$12,945,956
66.	Nikola Vucevic	$11,250,000	$12,808,437
67.	Kenneth Faried	$11,235,955	$12,792,447
67.	Thaddeus Young	$11,235,955	$12,792,447
69.	Marcin Gortat	$11,217,391	$12,771,311
70.	Jrue Holiday	$11,000,000	$12,523,805
71.	Deron Williams	$10,853,761	$12,357,308
72.	Tyreke Evans	$10,734,586	$12,221,624
73.	Wilson Chandler	$10,449,438	$11,896,975
74.	Monta Ellis	$10,300,000	$11,726,836
75.	Anderson Varejao	$10,158,574	$11,565,818
76.	Luol Deng	$10,151,612	$11,557,892
77.	Gerald Wallace	$10,105,855	$11,505,796
78.	Danny Green	$10,000,000	$11,385,278
78.	Zach Randolph	$10,000,000	$11,385,278
80.	Mike Conley	$9,680,000	$11,020,949
81.	DeMar DeRozan	$9,500,000	$10,816,014
81.	Rajon Rondo	$9,500,000	$10,816,014
83.	Alec Burks	$9,213,484	$10,489,807
84.	Omer Asik	$9,213,483	$10,489,806
85.	Jeff Green	$9,200,000	$10,474,455
86.	Lance Stephenson	$9,000,000	$10,246,750
87.	Iman Shumpert	$8,988,765	$10,233,958
88.	Ryan Anderson	$8,500,000	$9,677,486
88.	Kevin Garnett	$8,500,000	$9,677,486
88.	Taj Gibson	$8,500,000	$9,677,486
88.	Tiago Splitter	$8,500,000	$9,677,486
92.	Brandon Jennings	$8,344,497	$9,500,441
